,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
1,Gonzaga,WCC,24-0,36.59,125.8,1,89.2,10,75,4,0.017,131,5.61,105,105.3,105,99.7,109,5.12,104
2,Michigan,B10,18-1,33.77,121.4,5,87.6,4,67.5,232,0.036,97,14.76,15,110.9,10,96.1,26,2.44,152
3,Baylor,B12,18-1,31.33,121.9,4,90.5,16,68.5,178,0.046,84,5.86,100,105.2,108,99.3,101,-5.47,269
4,Houston,Amer,19-3,28.75,116.8,11,88.1,5,65.8,305,-0.047,272,6.43,93,104.6,114,98.1,76,1.7,168
5,Iowa,B10,17-7,28.5,125.5,2,97,81,69.8,111,-0.044,271,14.65,16,109.7,22,95,9,-5.48,271
6,Illinois,B10,18-6,27.33,117.9,9,90.5,17,70.8,72,0.008,151,15.56,12,110.8,12,95.2,12,7.84,72
7,Ohio St.,B10,18-6,26.73,124.1,3,97.4,87,67.3,246,-0.002,184,15.66,10,110.1,15,94.5,5,1.97,163
8,Villanova,BE,15-3,25.01,120.9,6,95.9,66,65.1,325,0.053,69,10.79,48,108.5,40,97.7,64,6.84,88
9,Alabama,SEC,19-6,24.41,111.8,38,87.4,3,74.4,7,0.003,161,13.19,23,109.4,25,96.2,27,8.38,65
10,Florida St.,ACC,14-4,23.5,118.2,8,94.6,52,70,101,0.009,148,11.09,44,108,49,96.9,41,4.11,122
11,Loyola Chicago,MVC,21-4,23.17,109.6,68,86.4,1,64.4,337,-0.022,229,2.86,128,104.1,130,101.2,133,4.72,113
12,Wisconsin,B10,16-9,23.11,111.9,35,88.8,7,65.2,323,-0.02,225,15.09,14,110.3,14,95.2,10,0.64,186
13,Virginia,ACC,15-6,23.03,115.7,15,92.6,30,60.1,357,0.022,123,11.27,41,109.8,20,98.5,85,-0.24,199
14,Purdue,B10,16-8,22.85,113.2,25,90.3,15,66.5,278,0.013,139,15.93,8,111.4,7,95.5,17,5.06,106
15,Creighton,BE,17-6,22.46,116.7,12,94.2,47,69.1,145,-0.034,252,10.32,56,107.1,66,96.8,37,-3.5,248
16,Colorado,P12,19-7,22.33,114.8,17,92.5,29,67,261,-0.044,269,8.94,73,106.7,74,97.8,65,-0.32,201
17,Arkansas,SEC,19-5,22.01,112.1,32,90.1,14,72.6,29,0.061,60,9.72,60,107.7,57,98,68,-6.4,284
18,West Virginia,B12,17-6,22,117.1,10,95.1,55,69.5,126,-0.001,180,13.45,22,108.9,36,95.4,16,12.51,29
19,Kansas,B12,18-8,21.91,111,50,89,9,68.4,184,0.024,118,14.29,17,109.9,18,95.6,19,10.9,39
20,San Diego St.,MWC,19-4,21.74,110.8,52,89,8,66.3,286,-0.009,203,4.22,117,104.8,113,100.6,122,9.9,50
21,USC,P12,19-6,21.45,112.9,27,91.4,21,67.7,219,-0.01,204,8.92,74,106.9,70,98,71,3.88,126
22,BYU,WCC,19-5,21.18,113.6,21,92.4,26,67.9,210,0.047,81,7.75,83,106.5,77,98.7,87,7.05,82
23,Texas Tech,B12,15-8,20.88,112.1,33,91.2,19,66,300,-0.077,320,9.8,58,107,69,97.2,49,-6.32,283
24,Tennessee,SEC,16-7,20.71,109,74,88.3,6,67.2,250,-0.002,185,10.55,53,107.9,50,97.4,55,-1.56,216
25,Texas,B12,14-7,20.38,113.5,23,93.1,34,69.1,150,-0.025,234,12.85,27,108.8,38,96,24,7.83,73
26,Rutgers,B10,13-9,20.13,110.2,60,90.1,12,68,206,0.003,159,16.72,5,112.8,2,96.1,25,-6.22,281
27,Florida,SEC,13-6,20.02,112.5,29,92.5,28,69.2,141,0.035,102,13.17,24,109.6,24,96.4,31,8.44,63
28,Connecticut,BE,12-6,19.44,112.1,31,92.7,32,65.6,308,-0.056,290,10.91,45,107.7,53,96.8,38,-4.69,261
29,Maryland,B10,14-10,19.2,111.7,41,92.5,27,65.5,315,-0.01,206,15.86,9,109.9,17,94.1,3,-1.82,223
30,LSU,SEC,14-8,18.89,119.9,7,101.1,146,71.1,65,-0.018,223,11.49,40,106.9,72,95.4,15,-0.07,194
31,St. Bonaventure,A10,13-3,18.62,111.8,36,93.2,35,65.2,324,0.042,88,6.14,96,105.3,101,99.2,99,2.07,158
32,Georgia Tech,ACC,13-8,18.62,114.2,18,95.6,61,67.6,225,-0.049,281,11.1,43,108.2,45,97.1,46,-2.68,234
33,Oklahoma,B12,14-7,18.36,112,34,93.6,40,67.9,212,0.001,166,10.58,50,108,48,97.4,56,-0.72,205
34,North Carolina,ACC,15-8,18.22,109.6,67,91.4,22,71.7,45,0.02,126,12.47,32,109.8,21,97.3,53,6.97,84
35,Duke,ACC,11-9,17.74,115.8,14,98.1,96,68.8,165,-0.104,337,10.86,47,108.4,44,97.5,59,3.96,124
36,Oklahoma St.,B12,16-6,17.49,108.7,77,91.2,20,71.6,48,0.023,122,10.65,49,108.4,43,97.7,62,3.12,141
37,Indiana,B10,12-12,17.38,111.2,47,93.9,42,66.3,288,-0.03,242,17.21,3,111.5,6,94.3,4,7.6,76
38,Clemson,ACC,15-5,17.26,106.7,109,89.4,11,65,327,0.172,4,13.5,21,109.3,26,95.8,21,10.78,40
39,UCLA,P12,17-6,16.84,113.6,20,96.8,79,64.5,334,0.081,40,9.67,61,107.7,55,98.1,73,7.89,71
40,Penn St.,B10,8-13,16.69,111.8,39,95.1,56,69.6,121,-0.058,295,19.44,2,112.7,3,93.3,1,11,38
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
